link,writer,time,text
https://lh3.googleusercontent.com/a-/ALV-UjVsLhdusEbvStfuVWUbuXLJpVBS92ww9w49JPkLVhWn5tRvX4e6=w43-h43-p-rp-mo-br100,Stanley Bennett,5 months ago,"Not really a pleasant place to go I think all people working there are trying hard Especially the nurses. Oh my God, they're so adorable I know they were all hyped up on Red Bull seemed like they were having a party but they did a AWESOME …"
https://lh3.googleusercontent.com/a/ACg8ocLHd3Cgis6XPIdxXzkEmwV4THH4UUEPxAEAJhnkbVGe9Fyk_Q=w43-h43-p-rp-mo-ba4-br100,Dion Conway,6 months ago,"Having went through some major complications with my health I have always turned to this hospital. It is centrally located, efficient, and always has offered me the utmost care and support. Although very busy most of the time, the nursing …"
https://lh3.googleusercontent.com/a/ACg8ocK_cOOXq9z6qRoEsKqGin2o3w9zDkn4rB_3GVTFb3lZYU_85g=w43-h43-p-rp-mo-br100,Mass Evolved,4 months ago,I have a problem in unit 52 with the Indian  lady in charge. There were patients screaming for help in one of the rooms and she completely ignored every patient and was laughing with her friends in unit 52 while all of them ignored the patients. I’ve never thought I’d experience such disgusting behaviour in a hospital
https://lh3.googleusercontent.com/a-/ALV-UjX1I9oaW6_9f8kxY6IA90jj8R1gQ7byM8xi4nDmFNVbEJBIt9QthA=w43-h43-p-rp-mo-ba5-br100,Laurie Thomas,4 months ago,I have a physical disability and was unable to park in a handicapped spot and the parking lot in front of the hospital was closed for cleaning along with 3 entrances to the hospital. What a backwards process. Staff at the MRI machine were incredibly helpful.
https://lh3.googleusercontent.com/a-/ALV-UjW6iLLo-WOkqkt93HVSG8MTbdmQe-jW6RHlSwCy8wSaXBz0pV9V=w43-h43-p-rp-mo-br100,Chance K,5 months ago,Psyche ward doctors are evil ignorant wretches on society. I was hospitalized by my abusive family and then placed under their decision making. Review panel cto’d me using abusive families opinion. I wish death upon Hastings. One day justice will come. Anti psychotics ruin my life.
https://lh3.googleusercontent.com/a-/ALV-UjWswum6ndYKvZwgIu3Ja-tM8iaQy_UwmOkJd_5S-6lhRaB1eHPb=w43-h43-p-rp-mo-br100,L M,5 months ago,"Horrifying Experience - Do Not Take Your Child Here

Review: …"
https://lh3.googleusercontent.com/a-/ALV-UjXQxqRRIkUYSvHhKgA-vCgpSmC-Xwxagni_ZI9HIZVebRmw1B_4=w43-h43-p-rp-mo-br100,PyromaniacClown s,5 months ago,"I unfortunately had to take my partner to the hospital today. Due to her getting a solvent in her eyes. We rushed to the emergency department and we're initially taken to a room quite quickly witch we thought was a good sign, only for us to …"
https://lh3.googleusercontent.com/a-/ALV-UjXIkjYWkCnj30Qpwb4GkjfrsSPRpEZv0TMe-UkHLF0HXLKSt6gg=w43-h43-p-rp-mo-ba4-br100,Ange D,7 months ago,"The ICU team that worked on my brother were kind, supportive, understanding and very professional.  I can’t speak for anything else at the hospital really. Parking is tricky sometimes.  Construction at the moment in the hospital makes …"
https://lh3.googleusercontent.com/a-/ALV-UjVtHkXT6eHlTasx8sqBNBOwiItErBhow93TUdnev3_JFuTJJg8=w43-h43-p-rp-mo-br100,Carolyn Krull,7 months ago,"I had a medical procedure done at the Lois Hole/Robbins Pavilion, all of the nurses in that unit (3-East) were amazing! Attentive, kind, responsive, compassionate, I could go on! …"
https://lh3.googleusercontent.com/a/ACg8ocL39OiBE5EH0rs_hE5xWZuhyfIwBqmiGjNnfMhov9w0EUvC1g=w43-h43-p-rp-mo-ba2-br100,Flailmail,a month ago,"Too many drug addicts, id go to literally any other hospital if i were you.

That being said the staff that arent fatigued are very nice and respectful, i feel sorry for them."
https://lh3.googleusercontent.com/a/ACg8ocJWwugypH0cRFlqKmQQV73CnqQFT5qpr-A9h19Vo1OqtXOxjg=w43-h43-p-rp-mo-ba2-br100,Dayna Swift,5 months ago,Wait times are seriously horrible due to lack doctor staff. Nice nurses and staff. But wait times ⏲️ BE PREPARED TO WAIT 6-10HRS TO SEE A DOCTOR. Even if the AHC wait time says 3HRS NO YOU WILL NOT GET IN WITHIN 3HRS! BE PREPARED NO JOKE! …
https://lh3.googleusercontent.com/a/ACg8ocKhqkHM1bTqSOzbpissRorUFobMnhk6QnEEjKn1kn6fkiWgIQ=w43-h43-p-rp-mo-br100,Eunice Katushabe,3 months ago,"I delivered a frank baby on May 19 2024 at Royal Alexandria hospital and the team of doctors including doctor Wong were exceptional good,iwould definitely give 10 stars if icould to the Nicu team.Thank you so much!!!!! You guys saved the life of my baby."
https://lh3.googleusercontent.com/a/ACg8ocK6mUWh2txIfamsF6UpR_7P1bbHRpiYBQ2v96RynIL0TgvzYQ=w43-h43-p-rp-mo-ba3-br100,Maureen McKillican,2 months ago,"Went to visit someone, the nurse was was very attentive. The floor had blood on it. They were filthy I would be scared to have to have surgery here."
https://lh3.googleusercontent.com/a/ACg8ocKRvjCcetFINpJRu-saQGGYAYkdW0LLdLEdgtO7D5qz5c6-cQ=w43-h43-p-rp-mo-br100,PromisingPope,11 months ago,"I was in the Royal Alex for a month after emergency surgery and spent about a week in the ICU. All things considered, I have very few complaints. …"
https://lh3.googleusercontent.com/a/ACg8ocII7Isd2xVNMH9K60bAbOoUGChWS4vulhbEe2mCpDH4WpBQ3g=w43-h43-p-rp-mo-br100,DL Joneson,8 months ago,"I wish I could give this hospital 0 stars.  My husband was a patient for 6 weeks, he has Alzheimer's and was admitted with an infection.  The unit my husband was admitted to was absolutely filthy.  More than once, someone missed the toilet …"
https://lh3.googleusercontent.com/a/ACg8ocJiygz8cb93fzTW8sMoLc-I-eZYscISAHed4VudvBcgfiFnnw=w43-h43-p-rp-mo-br100,WAZEMA FK,6 months ago,"The worst ever hospital, they don’t even care about the patients, every one at front Desk,they are using their phones, the nurse told me they are not using the line, call patients in need, I am wondering, how they know who needs priority, …"
https://lh3.googleusercontent.com/a/ACg8ocKKRmrb62vbTtininO82gNno5KU5Gv1SwZd9j4C-B6pAsqVDw=w43-h43-p-rp-mo-ba3-br100,Wade Gibson,9 months ago,"Had to go into emergency at 4 am…. My heart. Not a new thing , on going thing most of my life. From the minute I walked in triage to the minute I left, I felt safe and under the greatest care. Understand that this hospital isn’t in the …"
https://lh3.googleusercontent.com/a/ACg8ocJxk_cFtQONQaoLeNndfZ9_5kEzYGQHviQ1ALtWZN2NYFsXMQ=w43-h43-p-rp-mo-br100,acadia macInnis,8 months ago,I've gone to the mental health ward multiple times. There was a nurse wearing pink platform crocs. I explained to her how I felt and she talked to me for maybe 10 minutes total. Left feeling even worse without seeing a doctor. She kept …
https://lh3.googleusercontent.com/a/ACg8ocL41i2-9tDJx0RCB98bxF7UAy5kYh6p38GFfT8bjtXiOmQCtQ=w43-h43-p-rp-mo-br100,ALEX SIFFLEDEEN,7 months ago,I am a 5 time lung cancer survivor and required a Split Lung X-Ray as well as a Percutaneous Lung Biopsy as a result of new suspicious findings from a CT Scan And Pet Scan. …
https://lh3.googleusercontent.com/a-/ALV-UjUhxxTu3EkNyG4vHnNePpgzMjFG_BnYKV07172KHA--NlVHTYHkDg=w43-h43-p-rp-mo-br100,Erin Wallace,5 months ago,"This hospital is ridiculous, my Dad went for lung surgery no one would help us find where he needed to go for admitting. People who work in the hospital have no idea where anything is and can't help . A very stressful time was made so much …"
https://lh3.googleusercontent.com/a/ACg8ocJN0CFSdK6kajUYkCjd7QsBCMzj9fniha2VYYZSfsvKg7K5Wg=w43-h43-p-rp-mo-br100,Skin Marquee,4 months ago,A nurse stuck a medical spudger (knife) up my nose as a covid test. Bled all over. Why didn't I stop him? We're not treated as humans in the psych ward. Resisting only makes matters worse.
https://lh3.googleusercontent.com/a/ACg8ocKu2OCmRZxnABeHS0FoS_xVdR2iltorxzDxu1w5roPQ32oqOA=w43-h43-p-rp-mo-br100,Hera Juno,2 years ago,"Hospitalized for almost a week. The RNs/LPNs in the ER, Endo, Robbins Pav 2West and OR are awesome! They made all my procedures and surgery stress-free! The service I received was top notch!"
https://lh3.googleusercontent.com/a/ACg8ocLkRSbekBRRNdLCWupO5oOAn-Yx5sm4ZOZIJL_cfRb71NjrzA=w43-h43-p-rp-mo-br100,Danny Robinson,6 months ago,"When I got there there with double pneumonia, they asked me if I had a knife or a sword on me. They put me on Oxygen and stuck me in a hallway for  10 hours. They are miracle workers truly. But that hospital is falling apart. That being said the Doctors and Nurses saved my life. Therefore 5 stars."
https://lh3.googleusercontent.com/a/ACg8ocK1S3eWxa6xbDE15KVrfzsK4vwMTh_gwETGtWHft0lWA1Gr9w=w43-h43-p-rp-mo-br100,Jessie Schlosser,5 months ago,"Honestly wish I could give this 0 stars..
I came into emergency because I got chemicals in both my eyes.. instead of checking my eyes right away they put me in a room for over 3 hours .. Thankfully I …"
https://lh3.googleusercontent.com/a/ACg8ocKTa-zmdpr3lVpBoai3PglbvB_T5qbWLDVq7rXkubc4hjZ0rA=w43-h43-p-rp-mo-br100,mohammed ahmednur,2 weeks ago,My opinion and suggestions to the front desk and doctors you think we are getting service free we pay tax you don't care about us not long line but l was waiting more than 13 hours.
https://lh3.googleusercontent.com/a-/ALV-UjVG8DQDeQ2yjWd8KF1guRCoAv-IzkiXaLLFsfjWPL9Vtmw7fwFz=w43-h43-p-rp-mo-br100,Michael G. Korthuis (Kuri0us G3orge),5 months ago,"for the amount of times I've been seen over the past couple of years, the staff really neglects the fact that I have mental health issues alongside what's ailing me physically, …"
https://lh3.googleusercontent.com/a/ACg8ocJ1Qx8t5HHSUFwx7wz7OCsMuwT2y8109eB9OVFAvO5D8zsE5w=w43-h43-p-rp-mo-ba3-br100,Enko Famil,10 months ago,This is our first time going to this hospital and I can tell you that we are shocked by the quality of service and the work of the staff.  Not a single question was left unanswered.  The only problem.  Sometimes we had to wait a long time …
https://lh3.googleusercontent.com/a/ACg8ocKZnI_NYuq357IBpfO1GVHGvOkLMgJv4a5J9NNaH6iDjQ4gig=w43-h43-p-rp-mo-ba2-br100,Jenny B,7 months ago,"Thank you to Dr. Motan and the team in the diagnostic imaging department for taking care of me during my recent visit. I had an HSG test done and while the test was very painful for me, everyone involved did their best to make sure I was as …"
https://lh3.googleusercontent.com/a/ACg8ocK0cWH5l9RJ1mX7pepg0EG7UDBySz8BT1ZgHfRuu8ENJpDq3Q=w43-h43-p-rp-mo-br100,ifrah hussein,11 months ago,"Worst hospital I’ve ever been to, I was misdiagnosed with congenital dysplasia (smaller than average kidneys) at 16 years old here for 2 years I thought I had illness I never had. After getting an ultrasound 2 years later, I was told my …"
https://lh3.googleusercontent.com/a-/ALV-UjWi58apNkznbFQFOVfBC6A-uc2tQYJq6tl29yt3SGh5jrURLVY=w43-h43-p-rp-mo-ba3-br100,TheHoly Bananas,6 months ago,"Oh boy where do i even start, this is the best hospital ever to be created, the facilities are rather splendid. Perchance. Everything about this hospital fills me up with joy and happiness. The carpark? Amazing. The walls? Amazing. Everything about this is amazing."
https://lh3.googleusercontent.com/a/ACg8ocKXrxYDQLBvyO-sG2m0k49082MIa_qGrcxJDOQ5LYxn44S5Nw=w43-h43-p-rp-mo-br100,Amber,10 months ago,"Shout out to ER nurse John, who was very kind and looked after me all night. I waited in the waiting room most of the day which is no one's fault as they are extremely busy. This hospital seems to see a high number of homeless and people …"
https://lh3.googleusercontent.com/a-/ALV-UjWgFLlDXZ8jVfRck_btg2RlBALGSzLtYEbo-uaGEhSgL4MMNKFo=w43-h43-p-rp-mo-ba4-br100,Bee Kind,10 months ago,"I find it interesting that a lot of the reviews complain about shortage of care and doctors...if you voted for our current government I suggest you direct your anger and energy there.  With that said, the hospitals are short staffed and …"
https://lh3.googleusercontent.com/a/ACg8ocKMIR0oS3s4iYeeDgAuEi-OZLUWvlRtb-PYn6T_s9-n0_iBcA=w43-h43-p-rp-mo-br100,k g,6 months ago,"This is the most vile, disgusting place I have ever seen in my life! From the moment walking up to the emergency doors, people were urinating on the walls of the hospital! As you continue inside, you are urged to wear a mask. I thought from …"
https://lh3.googleusercontent.com/a/ACg8ocKzBsBpYof-r0-86uACVK6F8SIeQQ_1izYo6jV1VL_7L1Kzgg=w43-h43-p-rp-mo-br100,Wilbur,10 months ago,"I had to come here for a jaw surgery, and I have recieved fantastic care. The nurses and workers are absolute gems and have such compassion for their patients. They make sure you're comfortable, warm, and that all your questions are …"
https://lh3.googleusercontent.com/a-/ALV-UjVoZs26V6wQL3QQBa75CNKYzlRO6M2e1HsAp6k-2Nef5ExAlwA=w43-h43-p-rp-mo-ba4-br100,Placido Iozzo,7 months ago,"YES, the wait-times are long, however, once out of the waiting area the level of care excels.
I've been to many hospitals for injuries, yet, for how sketchy the waiting-room …"
https://lh3.googleusercontent.com/a/ACg8ocIZ3aSXZKgtPw78GFY5-0wRIQNV4m7xKXOVj2q1Rr2xTD-xBA=w43-h43-p-rp-mo-br100,Joe Whalen,7 months ago,The nurses at triage were a breath of fresh air as they were able to stay polite while being overwhelmed with patients. They obviously cared about my condition and even laughed at a joke that I made about my problems. They were able to keep the caregiver part in mind and truly made my situation better. Thanks to all.
https://lh3.googleusercontent.com/a-/ALV-UjUAbz1oxsWEtl1c6DxwSC73WN51emwC-ieOa2hdIs7B1F0Rxt8f=w43-h43-p-rp-mo-br100,Lucy Wood,5 months ago,"Absolutely filthy needs a lot of renovations and a deep clean, holes in the walls, windows that haven’t been cleaned for years by the looks as you can’t even see through them the list goes on. Hope I never have to get admitted here."
https://lh3.googleusercontent.com/a/ACg8ocJRbxGUYa2RUmgscUALKYjXXGn5OlSv_CciOlI6f-ebmFO9zw=w43-h43-p-rp-mo-br100,Shawna K,4 months ago,Very difficult to find the main entrance. Signs for patient drop off are hidden behind a pole right before entering. A worker said it is a common thing for people to have difficulties finding the entrance
https://lh3.googleusercontent.com/a-/ALV-UjW1apBvMeDOnJKvn8xSnpxeFxrtTepI8aUvpGvXx8oh8ckR9ZBy=w43-h43-p-rp-mo-br100,Raymond Loyer,a month ago,I’ve been here 6 hours to see a dr and there website says 5-1/2 hours wait time. The shittiest hospital in Edmonton.
https://lh3.googleusercontent.com/a-/ALV-UjWrdd33irAkUf1lPc4hrC7g0GZ_5DJURi_jwuhwNQ-dapVZPfdD=w43-h43-p-rp-mo-ba4-br100,Lilly Winchester_13,11 months ago,Triage in Emergency is a major problem. I arrived via ambulance bleeding as a result of unknown reasons. The major concern is that I'm on blood thinners and losing about 20 ml of blood every few hours. …
https://lh3.googleusercontent.com/a-/ALV-UjXjMip85C7r47es0-oIThhYZj0dVecL2Pw3gokUMLNM02R168M=w43-h43-p-rp-mo-br100,E Rose,2 weeks ago,unfortunate asked for helped and was told “you don’t think others need help i have people with heart attacks i’m sure you’ll be fine” very sad
https://lh3.googleusercontent.com/a/ACg8ocIszrw3i5w1dLRumiHRVd453FHfkSrdWpZGjOUxOEbHKx6c2w=w43-h43-p-rp-mo-br100,Colleen Fenwick,a year ago,I had to be brought to the emergency department by ambulance and from the time I arrived I was treated so well. The nurses were exceptional and the ER doctors were amazing. I felt heard and was treated with respect and was listened to. Seriously 10/10 experience.
https://lh3.googleusercontent.com/a-/ALV-UjUO6cJFpHJ8-e7T1DXpweVHTgjWQgl4I4jiGFQCCIUNnANj3et2=w43-h43-p-rp-mo-ba4-br100,R.J. W.,10 months ago,"I have not had the energy to write this review since my best friend passed in October of last year. After a brutal journey through our broken health care system, she wound up here and to say the care was subpar would be a gross under …"
https://lh3.googleusercontent.com/a/ACg8ocJ5eTscRBr5c843skl8Dsy1Xg5rEGbDg3DUrIvYcA50aKMtNw=w43-h43-p-rp-mo-br100,Shila Adrian,3 months ago,"This hospital has giving me horrible trauma. Sometimes I can’t even sleep it’s so bad. I went into the hospital because I was suicidal  I asked them why they were taking my stuff. They did not have to tell me where they were taking myself, …"
https://lh3.googleusercontent.com/a-/ALV-UjUk-YBXz5Ka43h7e6gl5koJyPG43_5X_lQ_x71aQXGYcBkRhkU=w43-h43-p-rp-mo-br100,Peter Jackson,a year ago,"I spent 10 days in this hospital, 2 nights in the ER and then 8 more in the psych ward. The care right from all the nursing staff to every doctor and specialist I dealt with was outstanding and they sent me home with many resources and …"
https://lh3.googleusercontent.com/a-/ALV-UjUQvz-a2UYs3e2mKkYGKepNFb2kh2s5No-sU5pSJe5Bymhto6xK=w43-h43-p-rp-mo-ba4-br100,Nesha,a year ago,"Highly Recommend!
Went to 2 different hospitals before coming to the Royal Alexandra Hospital and both sent me home telling me I was fine. Came to the Royal Alexandra and was …"
https://lh3.googleusercontent.com/a-/ALV-UjVzP9bEnhAtoWJOeBb_Oh55ZuQqvcnTOALg5Yvd-yY6AziC1sI=w43-h43-p-rp-mo-br100,Gabriel Dyjur,11 months ago,My child is in the NICU and all the nurses and doctors are really caring and take extremely good care of the babies! The only reason I am not giving them a 4 star is because of the front desk ladies (not all of them). For the most part I …
https://lh3.googleusercontent.com/a/ACg8ocLACwntHbss-kZDFQYBET1qEJlnBLX1qkxXe3hx82WBA4AibjE=w43-h43-p-rp-mo-br100,Chelsey Dallinga,a year ago,"Took my 8 year old daughter here at 2am. Never had to go to emergency since moving to this city, so I chose the closest one. NEVER AGAIN 😳 my experience in the emergency waiting room was like I was in a dingy drug house. Addicts just there …"
https://lh3.googleusercontent.com/a-/ALV-UjUnRMQ_dxs47WV87To4PPi6vyFrPZrY4KUSAtUpFBKb6uV7Gq_c=w43-h43-p-rp-mo-br100,Hannah Bradford,7 months ago,"The one overnight nurse was the best! They all were but she typically was the sweetest, making I myself and my grandma comfortable overnight, i didn’t get her name but i hope she sees this , On april 19th i believe."
https://lh3.googleusercontent.com/a/ACg8ocJIl3SG47rjMIl4eWZ1pCeAWJk_EL3D-msXVsAy_nr-AI314g=w43-h43-p-rp-mo-br100,Irina Duncheva,a month ago,Tell the Canadian government that 3 doctors for a huge hospital is very little. And a waiting time of 10 hours is a lot.
https://lh3.googleusercontent.com/a-/ALV-UjU2vev8aIvB6cNz0HIi8yWihKp2p46gkQsIFG_1SVAugoCgQpPLyA=w43-h43-p-rp-mo-ba3-br100,Sandra Teixeira,6 months ago,In the last year I’ve been to the emergency department 4 time with 12 hrs being my shortest wait time. They offer no water Or comfort while waiting. The workers are tired an grumpy.
https://lh3.googleusercontent.com/a-/ALV-UjVZp53-wtfT_NsUztFWHXwv8EGPkY7comg7pt-k6_VZVhcuwJI=w43-h43-p-rp-mo-br100,Kelly Hatter,a year ago,"NICU was an absolute miracle 7 years ago. They saved my new born life, and still follow him to this day.
The psych ward 15 years ago was so kind, compassionate, and respectful 15 years …"
https://lh3.googleusercontent.com/a-/ALV-UjWE5J8xdT58cx4jusRrbodFKQSsnWfYKMl0K0vCR1Q1-FJ-ZUq5=w43-h43-p-rp-mo-ba3-br100,Mario Lara,5 months ago,"Not sure if it's the hospital s fault or the care system itself . It took 8 hrs to see a doc. in the EMERGENCY ward today. 8 hrs. of waiting!!!! My wife was in pain all that time . Just awful to think it happens in Canada .
What's is it like when is NOT an EMERGENCY?"
https://lh3.googleusercontent.com/a/ACg8ocKCU34Jy5_OEVW0S5eyKACoSuAbTBQyhmYTDTA0bgWqa16k-w=w43-h43-p-rp-mo-br100,Adrian G,3 months ago,"Don’t go here, the worst emergency 10h waiting it’s insane.
Y coming here with pain and really need help y will wait because there is homeless going first 👍🏻 …"
https://lh3.googleusercontent.com/a/ACg8ocL_MOm5Uttmw6KN1JsDv6VRIAu_wW_tW7XMjd_h3PK86RAk2A=w43-h43-p-rp-mo-br100,Israa Talib,5 months ago,Thank you to the doctors and staff for excellent care . There was a nurse named Augusta she was very caring and funny.
